datetime,temp,humidity
2024-05-08 11:30:15+00:00,38.45,48.75
2024-05-08 11:31:15+00:00,38.46,48.77
2024-05-08 11:32:15+00:00,38.49,48.49
2024-05-08 11:33:15+00:00,38.48,48.66
2024-05-08 11:34:15+00:00,38.51,48.74
2024-05-08 11:35:15+00:00,38.47,48.59
2024-05-08 11:36:15+00:00,38.41,49.04
2024-05-08 11:37:15+00:00,38.48,48.81
2024-05-08 11:38:15+00:00,38.46,48.83
2024-05-08 11:39:15+00:00,38.42,48.96
2024-05-08 11:40:15+00:00,38.48,48.97
2024-05-08 11:41:15+00:00,38.38,49.13
2024-05-08 11:42:15+00:00,38.46,48.97
2024-05-08 11:43:30+00:00,38.51,48.88
2024-05-08 11:44:30+00:00,38.47,48.91
2024-05-08 11:45:30+00:00,38.51,49.07
2024-05-08 11:46:30+00:00,38.46,49.14
2024-05-08 11:47:30+00:00,38.44,48.97
2024-05-08 11:48:30+00:00,38.36,49.02
2024-05-08 11:49:30+00:00,38.52,49.06
2024-05-08 11:50:30+00:00,38.52,48.94
2024-05-08 11:51:30+00:00,38.45,49.06
2024-05-08 11:52:30+00:00,38.53,48.8
2024-05-08 11:53:30+00:00,38.45,49.15
2024-05-08 11:54:30+00:00,38.42,49.1
2024-05-08 11:55:30+00:00,38.4,48.93
2024-05-08 11:56:45+00:00,38.42,48.81
2024-05-08 11:57:45+00:00,38.47,48.85
2024-05-08 11:58:45+00:00,38.39,49.03
2024-05-08 11:59:45+00:00,38.43,49.29
2024-05-08 12:00:45+00:00,38.49,49.11
2024-05-08 12:01:45+00:00,38.4,49.17
2024-05-08 12:02:45+00:00,38.54,48.92
2024-05-08 12:03:45+00:00,38.57,48.81
2024-05-08 12:04:45+00:00,38.48,49.16
2024-05-08 12:05:45+00:00,38.45,49.24
2024-05-08 12:06:45+00:00,38.52,48.97
2024-05-08 12:07:45+00:00,38.47,48.88
2024-05-08 12:09:00+00:00,38.45,49.22
2024-05-08 12:10:00+00:00,38.44,49.02
2024-05-08 12:11:00+00:00,38.54,48.93
2024-05-08 12:12:00+00:00,38.46,49.05
2024-05-08 12:13:00+00:00,38.53,49.13
2024-05-08 12:14:00+00:00,38.47,48.89
2024-05-08 12:15:00+00:00,38.44,49.05
2024-05-08 12:16:00+00:00,38.46,49.0
2024-05-08 12:17:00+00:00,38.52,49.1
2024-05-08 12:18:00+00:00,38.43,49.14
2024-05-08 12:19:00+00:00,38.45,49.32
2024-05-08 12:20:00+00:00,38.48,48.92
2024-05-08 12:21:00+00:00,38.44,49.2
2024-05-08 12:22:15+00:00,38.48,49.11
2024-05-08 12:23:15+00:00,38.43,49.25
2024-05-08 12:24:15+00:00,38.45,49.04
2024-05-08 12:25:15+00:00,38.45,49.44
2024-05-08 12:26:15+00:00,38.46,49.07
2024-05-08 12:27:15+00:00,38.45,49.17
2024-05-08 12:28:15+00:00,38.5,49.25
2024-05-08 12:29:15+00:00,38.49,49.12
2024-05-08 12:30:15+00:00,38.46,49.15
2024-05-08 12:31:15+00:00,38.49,49.18
2024-05-08 12:32:15+00:00,38.42,49.21
2024-05-08 12:33:15+00:00,38.49,49.09
2024-05-08 12:34:30+00:00,38.41,49.49
2024-05-08 12:35:30+00:00,38.53,49.12
2024-05-08 12:36:30+00:00,38.35,49.16
2024-05-08 12:37:30+00:00,38.5,49.17
2024-05-08 12:38:30+00:00,38.38,49.27
2024-05-08 12:39:30+00:00,38.5,49.37
2024-05-08 12:40:30+00:00,38.49,49.26
2024-05-08 12:41:30+00:00,38.41,49.25
2024-05-08 12:42:30+00:00,38.54,49.06
2024-05-08 12:43:30+00:00,38.45,49.11
2024-05-08 12:44:30+00:00,38.45,49.19
2024-05-08 12:45:30+00:00,38.53,49.13
2024-05-08 12:46:30+00:00,38.51,49.02
2024-05-08 12:47:45+00:00,38.43,49.22
2024-05-08 12:48:45+00:00,38.42,49.29
2024-05-08 12:49:45+00:00,38.53,49.13
2024-05-08 12:50:45+00:00,38.47,49.31
2024-05-08 12:51:45+00:00,38.48,49.06
2024-05-08 12:52:45+00:00,38.51,49.1
2024-05-08 12:53:45+00:00,38.47,49.2
2024-05-08 12:54:45+00:00,38.46,49.05
2024-05-08 12:55:45+00:00,38.49,49.18
2024-05-08 12:56:45+00:00,38.5,49.14
2024-05-08 12:57:45+00:00,38.59,49.15
2024-05-08 12:58:45+00:00,38.81,48.61
2024-05-08 12:59:45+00:00,39.46,46.71
2024-05-08 13:01:00+00:00,39.59,46.5
2024-05-08 13:02:00+00:00,39.02,47.92
2024-05-08 13:03:00+00:00,38.82,48.54
2024-05-08 13:04:00+00:00,39.3,46.36
2024-05-08 13:06:00+00:00,38.905,47.825
2024-05-08 13:07:00+00:00,38.5,48.97
2024-05-08 13:08:00+00:00,38.6,48.54
2024-05-08 13:09:15+00:00,38.7,48.15
2024-05-08 13:10:15+00:00,38.43,49.08
2024-05-08 13:11:15+00:00,38.52,49.08
2024-05-08 13:12:15+00:00,38.62,48.54
2024-05-08 13:13:15+00:00,38.54,48.56
2024-05-08 13:14:15+00:00,38.43,48.76
2024-05-08 13:15:15+00:00,38.5,48.85
2024-05-08 13:16:15+00:00,38.7,47.86
2024-05-08 13:18:30+00:00,39.435,46.205
2024-05-08 13:19:30+00:00,39.42,45.94
2024-05-08 13:20:30+00:00,39.0,47.07
2024-05-08 13:21:30+00:00,39.6,45.3
2024-05-08 13:22:30+00:00,39.56,45.47
2024-05-08 13:23:30+00:00,39.75,45.3
2024-05-08 13:24:30+00:00,39.18,46.26
2024-05-08 13:25:30+00:00,39.47,46.39
2024-05-08 13:26:30+00:00,38.59,48.43
2024-05-08 13:27:30+00:00,38.61,48.71
2024-05-08 13:28:30+00:00,38.53,48.65
2024-05-08 13:29:30+00:00,38.62,48.34
2024-05-08 13:30:45+00:00,38.38,48.92
2024-05-08 13:31:45+00:00,38.23,49.18
2024-05-08 13:32:45+00:00,38.52,48.71
2024-05-08 13:33:45+00:00,38.45,49.04
2024-05-08 13:34:45+00:00,38.94,47.72
2024-05-08 13:35:45+00:00,39.56,45.26
2024-05-08 13:36:45+00:00,39.4,45.88
2024-05-08 13:37:45+00:00,39.39,46.51
2024-05-08 13:38:45+00:00,38.89,47.58
2024-05-08 13:39:45+00:00,39.16,46.58
2024-05-08 13:40:45+00:00,39.11,47.47
2024-05-08 13:41:45+00:00,38.35,48.92
2024-05-08 13:43:00+00:00,39.37,46.6
2024-05-08 13:44:00+00:00,39.18,47.04
2024-05-08 13:45:00+00:00,38.72,48.09
2024-05-08 13:46:00+00:00,38.79,48.28
2024-05-08 13:47:00+00:00,38.67,48.77
2024-05-08 13:48:00+00:00,38.73,48.74
2024-05-08 13:49:00+00:00,38.67,48.52
2024-05-08 13:50:00+00:00,38.77,48.44
2024-05-08 13:51:00+00:00,39.08,47.33
2024-05-08 13:52:00+00:00,38.65,48.59
2024-05-08 13:53:00+00:00,38.73,48.54
2024-05-08 13:54:00+00:00,38.63,48.64
2024-05-08 13:55:00+00:00,38.5,48.64
2024-05-08 13:56:15+00:00,38.14,49.17
2024-05-08 13:57:15+00:00,37.92,49.22
2024-05-08 13:58:15+00:00,37.99,49.05
2024-05-08 13:59:15+00:00,38.92,47.48
2024-05-08 14:00:15+00:00,37.66,49.73
2024-05-08 14:01:15+00:00,37.52,49.94
2024-05-08 14:02:15+00:00,37.52,50.2
2024-05-08 14:03:15+00:00,37.65,49.93
2024-05-08 14:04:15+00:00,37.7,49.72
2024-05-08 14:05:15+00:00,37.68,50.04
2024-05-08 14:06:15+00:00,37.63,49.98
2024-05-08 14:07:15+00:00,37.71,50.1
2024-05-08 14:08:30+00:00,37.84,49.75
2024-05-08 14:09:30+00:00,38.05,49.46
2024-05-08 14:10:30+00:00,37.49,50.31
2024-05-08 14:11:30+00:00,37.48,50.32
2024-05-08 14:12:30+00:00,37.6,50.02
2024-05-08 14:13:30+00:00,37.35,50.48
2024-05-08 14:14:30+00:00,37.35,50.56
2024-05-08 14:15:30+00:00,37.32,50.85
2024-05-08 14:16:30+00:00,37.24,50.86
2024-05-08 14:17:30+00:00,37.1,51.43
2024-05-08 14:18:30+00:00,37.4,50.87
2024-05-08 14:19:30+00:00,37.19,50.97
2024-05-08 14:20:30+00:00,37.14,51.27
2024-05-08 14:21:45+00:00,37.13,51.3
2024-05-08 14:22:45+00:00,36.97,51.5
2024-05-08 14:23:45+00:00,37.35,51.21
2024-05-08 14:24:45+00:00,36.98,51.63
2024-05-08 14:25:45+00:00,37.0,51.43
2024-05-08 14:26:45+00:00,36.98,51.73
2024-05-08 14:27:45+00:00,37.49,50.77
2024-05-08 14:28:45+00:00,37.32,51.08
2024-05-08 14:29:45+00:00,37.09,51.3
2024-05-08 14:30:45+00:00,37.12,51.24
2024-05-08 14:32:00+00:00,37.0,51.51
2024-05-08 14:33:00+00:00,37.52,50.86
2024-05-08 14:34:00+00:00,38.55,48.96
2024-05-08 14:35:00+00:00,37.57,50.77
2024-05-08 14:36:00+00:00,38.21,49.77
2024-05-08 14:37:00+00:00,38.66,48.89
2024-05-08 14:38:00+00:00,38.3,49.45
2024-05-08 14:39:00+00:00,37.84,50.38
2024-05-08 14:40:00+00:00,37.61,50.98
2024-05-08 14:41:00+00:00,37.91,50.54
2024-05-08 14:42:00+00:00,37.66,51.36
2024-05-08 14:43:00+00:00,37.56,51.33
